run_key,source,task,experiment,split,macro_f1,weighted_f1,quiet_precision,quiet_recall,B_precision,B_recall,C_precision,C_recall,M_precision,M_recall,X_precision,X_recall
W24_H72,night,3c,weighted_3c,test,0.3631160698223222,0.8393201878889733,0.9787420327987842,0.7835578594637522,,,,,,,,
W24_H72,night,3c,weighted_3c,val,0.3509923115559878,0.8283729539257678,0.9779639287056942,0.7716347982171923,,,,,,,,
W24_H72,night,3c,weighted_thresholded_3c,test,0.3823496156114909,0.892414593236463,0.9696255022755684,0.8854396176437831,,,,,,,,
W24_H72,night,3c,weighted_thresholded_3c,val,0.3823719809889795,0.8890880195251633,0.970120899539232,0.8855549977943078,,,,,,,,
W24_H72,night,5c,baseline_5c,test,0.2251510458792592,0.8825701922302366,0.9668118714268108,0.8737585286839799,0.0993378142892706,0.3403616513135448,0.0075842454537619,0.0147058823529411,0.0335422666440792,0.0640362225097024,0.0,0.0
W24_H72,night,5c,baseline_5c,val,0.2234398461494207,0.8655864115088218,0.9627871243968338,0.8483244345061531,0.000844193531367,0.6666666666666666,0.1872923588039867,0.0886051080550098,0.1365079365079365,0.0708401976935749,0.0,0.0
W24_H72,night,5c,weighted_5c,test,0.2185466872131851,0.8444292456899112,0.9750996605036848,0.7983380869598904,0.0931308486326691,0.4546571136131013,0.0158741770299926,0.0725267379679144,0.0200699064156049,0.1151358344113842,0.0,0.0
W24_H72,night,5c,weighted_5c,val,0.2279837396107677,0.8335564146370178,0.972848321842564,0.7813094205874747,0.0009267467160931,0.9583333333333334,0.1611318530163097,0.1611001964636542,0.0837964942283027,0.1614497528830313,0.0,0.0
W24_H72,night,5c,weighted_thresholded_5c,test,0.2281462422568268,0.88151597214158,0.9703695989136286,0.8685275218029238,0.1102282597861221,0.2641078130330945,0.0200980106178169,0.1151403743315508,0.0197457791577721,0.1316300129366106,0.0,0.0
W24_H72,night,5c,weighted_thresholded_5c,val,0.2600136209130281,0.8790443248909087,0.970570070851418,0.8606078583489253,0.001566715989207,0.75,0.1751341117071631,0.2180746561886051,0.1289005540974045,0.3640856672158155,0.0,0.0
